t_sim_sec,t_ros_sec,t_ros_ns,rov_id,x_n,y_e,z_d,vx_n,vy_e,vz_d
5.82,1700000005.82,1700000005820000000,1,34.94287661831714,11.307837287184814,12.418699429697428,-0.019617559233964244,0.22414314843421934,0.07182447666815861
5.83,1700000005.83,1700000005829999872,1,34.94268027461744,11.310078703955988,12.419417671449475,-0.019651180485880104,0.22414020327872208,0.07182387322384187
5.84,1700000005.84,1700000005840000000,1,34.942483594707426,11.312320091250388,12.420135907161905,-0.01968480129512784,0.22413725308005894,0.07182326874515255
5.8500000000000005,1700000005.85,1700000005849999872,1,34.942286578591535,11.314561449017589,12.420854136824378,-0.01971842166135218,0.22413429783840755,0.07182266323235709
5.86,1700000005.86,1700000005860000000,1,34.9420892262742,11.316802777207156,12.421572360426552,-0.019752041583842583,0.22413133755359027,0.07182205668536668
5.87,1700000005.87,1700000005869999872,1,34.94189153775986,11.31904407576866,12.422290577958085,-0.019785661062243776,0.22412837222587356,0.07182144910400368
5.88,1700000005.88,1700000005880000000,1,34.941693513052954,11.321285344651674,12.423008789408632,-0.019819280095489944,0.22412540185534624,0.07182084048844573
5.89,1700000005.89,1700000005890000128,1,34.94149515215795,11.323526583805767,12.423726994767854,-0.019852898682870546,0.2241224264419195,0.07182023083869282
5.9,1700000005.9,1700000005900000000,1,34.941296455079296,11.325767793180512,12.424445194025406,-0.019886516823319766,0.22411944598577094,0.07181962015474497
5.91,1700000005.91,1700000005910000128,1,34.94109742182148,11.328008972725483,12.425163387170949,-0.019920134516127064,0.2241164604869006,0.07181900843660216
5.92,1700000005.92,1700000005920000000,1,34.940898052388974,11.33025012239025,12.425881574194138,-0.019953751760937166,0.22411346994539727,0.07181839568408677
5.93,1700000005.93,1700000005930000128,1,34.94069834678626,11.33249124212439,12.42659975508463,-0.01998736855668426,0.2241104743613498,0.07181778189755406
5.94,1700000005.94,1700000005940000000,1,34.94049830501784,11.334732331877477,12.427317929832089,-0.020020984903013073,0.22410747373484696,0.07181716707691521
5.95,1700000005.95,1700000005950000128,1,34.9402979270882,11.336973391599088,12.428036098426169,-0.02005460079885779,0.2241044680659776,0.0718165512219926
5.96,1700000005.96,1700000005960000000,1,34.94009721300186,11.339214421238797,12.428754260856529,-0.0200882162431526,0.22410145735465292,0.07181593433296385
5.97,1700000005.97,1700000005970000128,1,34.93989616276334,11.34145542074618,12.429472417112828,-0.02012183123554223,0.22409844160105052,0.07181531640974015
5.98,1700000005.98,1700000005980000000,1,34.93969477637715,11.343696390070818,12.430190567184724,-0.02015544577567141,0.22409542080534806,0.0718146974523215
5.99,1700000005.99,1700000005990000128,1,34.939493053847826,11.345937329162288,12.430908711061875,-0.02018905986176378,0.22409239496736788,0.07181407746088553
6.0,1700000006.0,1700000006000000000,1,34.93929099517992,11.348178237970165,12.431626848733941,-0.02022267349346407,0.22408936408728763,0.07181345643534343
6.01,1700000006.01,1700000006009999872,1,34.93908860037796,11.350419116444034,12.432344980190582,-0.020256286670772283,0.22408632816537377,0.07181283437560637
